Year,sum,SSP585,sum.1,SSP370,sum.2,SSP245,sum.3,SSP126
1956,21.42210217,1.169234557,21.42210217,1.169234557,19.30109682,1.315311605,19.30109682,1.315311605
1957,21.92445279,1.671585172,21.92445279,1.671585172,20.01111135,2.025326131,20.01111135,2.025326131
1958,20.9522274,0.699359788,20.9522274,0.699359788,18.87214806,0.886362849,18.87214806,0.886362849
1959,21.24734545,0.994477829,21.24734545,0.994477829,19.07021074,1.084425526,19.07021074,1.084425526
1960,21.14782707,0.894959457,21.14782707,0.894959457,18.89136469,0.905579473,18.89136469,0.905579473
1961,21.50972029,1.256852679,21.50972029,1.256852679,19.14551976,1.159734544,19.14551976,1.159734544
1962,20.96837924,0.715511625,20.96837924,0.715511625,18.91939786,0.933612644,18.91939786,0.933612644
1963,21.99198032,1.739112709,21.99198032,1.739112709,19.54848895,1.562703738,19.54848895,1.562703738
1964,20.58400236,0.331134747,20.58400236,0.331134747,18.44512925,0.459344033,18.44512925,0.459344033
1965,21.05077163,0.797904018,21.05077163,0.797904018,18.76953908,0.783753864,18.76953908,0.783753864
1966,20.46219723,0.209329611,20.46219723,0.209329611,18.55973985,0.57395463,18.55973985,0.57395463
1967,19.71217995,-0.540687664,19.71217995,-0.540687664,17.60793258,-0.377852635,17.60793258,-0.377852635
1968,20.14256438,-0.11030324,20.14256438,-0.11030324,18.36570707,0.379921857,18.36570707,0.379921857
1969,20.44308655,0.190218934,20.44308655,0.190218934,18.20741973,0.221634512,18.20741973,0.221634512
1970,20.62659568,0.373728065,20.62659568,0.373728065,18.60298306,0.617197843,18.60298306,0.617197843
1971,20.28538515,0.032517531,20.28538515,0.032517531,18.58784884,0.602063627,18.58784884,0.602063627
1972,19.75865955,-0.494208069,19.75865955,-0.494208069,18.28528446,0.299499241,18.28528446,0.299499241
1973,21.0673614,0.814493784,21.0673614,0.814493784,19.1500227,1.164237482,19.1500227,1.164237482
1974,19.96602682,-0.286840792,19.96602682,-0.286840792,18.00178619,0.016000979,18.00178619,0.016000979
1975,20.60538289,0.352515279,20.60538289,0.352515279,18.93842647,0.952641251,18.93842647,0.952641251
1976,20.70427917,0.451411551,20.70427917,0.451411551,18.75283425,0.767049035,18.75283425,0.767049035
1977,21.48010246,1.227234846,21.48010246,1.227234846,19.32374304,1.33795782,19.32374304,1.33795782
1978,21.27943869,1.026571071,21.27943869,1.026571071,19.39319271,1.407407497,19.39319271,1.407407497
1979,21.04647912,0.793611504,21.04647912,0.793611504,19.25889841,1.273113196,19.25889841,1.273113196
1980,21.54664092,1.293773304,21.54664092,1.293773304,19.36198673,1.37620151,19.36198673,1.37620151
1981,20.67515224,0.422284623,20.67515224,0.422284623,19.01984977,1.034064558,19.01984977,1.034064558
1982,20.95459296,0.701725342,20.95459296,0.701725342,19.32312751,1.337342296,19.32312751,1.337342296
1983,21.01211815,0.759250537,21.01211815,0.759250537,19.50185357,1.516068355,19.50185357,1.516068355
1984,20.57918777,0.326320159,20.57918777,0.326320159,19.15398998,1.168204765,19.15398998,1.168204765
1985,21.68758395,1.434716334,21.68758395,1.434716334,20.20739434,2.221609122,20.20739434,2.221609122
1986,21.72042049,1.467552874,21.72042049,1.467552874,19.95752794,1.971742725,19.95752794,1.971742725
1987,21.61211608,1.359248466,21.61211608,1.359248466,19.95452826,1.968743048,19.95452826,1.968743048
1988,21.43690977,1.184042157,21.43690977,1.184042157,19.74494644,1.759161223,19.74494644,1.759161223
1989,21.86888784,1.616020224,21.86888784,1.616020224,20.44474735,2.458962137,20.44474735,2.458962137
1990,21.91139688,1.658529267,21.91139688,1.658529267,20.03516627,2.049381055,20.03516627,2.049381055
1991,21.90961329,1.656745675,21.90961329,1.656745675,19.9876226,2.001837386,19.9876226,2.001837386
1992,21.67538755,1.42251993,21.67538755,1.42251993,19.67266632,1.686881101,19.67266632,1.686881101
1993,21.98113596,1.728268344,21.98113596,1.728268344,20.14356864,2.157783424,20.14356864,2.157783424
1994,21.81255368,1.559686061,21.81255368,1.559686061,20.3049092,2.319123985,20.3049092,2.319123985
1995,21.61903906,1.366171444,21.61903906,1.366171444,19.66361631,1.677831098,19.66361631,1.677831098
1996,23.18976492,2.936897304,23.18976492,2.936897304,21.03736941,3.051584193,21.03736941,3.051584193
1997,23.29932103,3.046453413,23.29932103,3.046453413,21.48742374,3.501638529,21.48742374,3.501638529
1998,23.47524402,3.2223764,23.47524402,3.2223764,21.52677017,3.540984953,21.52677017,3.540984953
1999,23.63829426,3.385426642,23.63829426,3.385426642,22.16598834,4.180203124,22.16598834,4.180203124
2000,24.13816847,3.885300851,24.13816847,3.885300851,22.43979726,4.454012041,22.43979726,4.454012041
2001,24.63519593,4.382328311,24.63519593,4.382328311,22.57006988,4.584284666,22.57006988,4.584284666
2002,25.04934723,4.796479611,25.04934723,4.796479611,22.78853773,4.802752513,22.78853773,4.802752513
2003,24.77691608,4.524048469,24.77691608,4.524048469,22.25523959,4.269454372,22.25523959,4.269454372
2004,25.85541744,5.602549821,25.85541744,5.602549821,23.04306708,5.05728187,23.04306708,5.05728187
2005,26.09167023,5.838802616,26.09167023,5.838802616,23.57321823,5.587433015,23.57321823,5.587433015
2006,27.02662717,6.773759556,27.02662717,6.773759556,23.96178998,5.976004769,23.96178998,5.976004769
2007,27.6343824,7.381514782,27.6343824,7.381514782,24.435864,6.450078784,24.435864,6.450078784
2008,28.10393409,7.851066476,28.10393409,7.851066476,24.84274911,6.856963899,24.84274911,6.856963899
2009,28.41161972,8.158752104,28.41161972,8.158752104,25.07259648,7.086811262,25.07259648,7.086811262
2010,28.38838867,8.135521056,28.38838867,8.135521056,24.92820651,6.94242129,24.92820651,6.94242129
2011,28.5587011,8.305833483,28.5587011,8.305833483,25.28018083,7.294395613,25.28018083,7.294395613
2012,28.73263636,8.479768741,28.73263636,8.479768741,25.53377514,7.547989926,25.53377514,7.547989926
2013,28.59142202,8.338554406,28.59142202,8.338554406,25.1103937,7.124608485,25.1103937,7.124608485
2014,30.25604757,10.00317995,30.25604757,10.00317995,26.63762082,8.651835606,26.63762082,8.651835606
2015,30.01523128,9.762363668,29.0869869,8.834119285,28.21916085,10.23337564,27.16236026,9.176575046
2016,30.59194412,10.3390765,28.66329734,8.410429724,28.02838914,10.04260392,26.82684741,8.84106219
2017,31.074885,10.82201738,29.96306982,9.710202206,27.51754698,9.531761762,27.71390476,9.728119548
2018,30.58571095,10.33284334,30.35886448,10.10599686,27.82231114,9.836525925,28.10078109,10.11499588
2019,32.00588806,11.75302045,30.59387929,10.34101167,28.80532823,10.81954301,28.68155803,10.69577281
2020,32.93133772,12.67847011,31.7645998,11.51173218,29.75903528,11.77325007,29.28764824,11.30186302
2021,33.29478616,13.04191855,31.8488892,11.59602159,29.10752243,11.12173721,29.46911384,11.48332862
2022,33.89647237,13.64360476,31.85254867,11.59968106,30.41648152,12.43069631,29.76195619,11.77617097
2023,34.05146878,13.79860117,32.18735076,11.93448314,30.97778084,12.99199562,30.79474781,12.8089626
2024,35.05277922,14.79991161,33.57582958,13.32296196,30.56199762,12.57621241,31.09829257,13.11250736
2025,35.47318956,15.22032195,33.58263992,13.32977231,31.41736253,13.43157732,31.8830211,13.89723588
2026,36.06598066,15.81311304,33.65346232,13.40059471,30.47915519,12.49336998,31.88519029,13.89940507
2027,36.51710992,16.26424231,34.12460509,13.87173748,31.37206565,13.38628043,32.36164034,14.37585512
2028,37.60305025,17.35018263,35.36766937,15.11480175,32.05483601,14.0690508,32.3401398,14.35435458
2029,37.91679645,17.66392883,36.18074766,15.92788004,32.75282481,14.7670396,32.18006485,14.19427963
2030,37.96301253,17.71014491,36.51240257,16.25953496,33.03914682,15.0533616,33.15055468,15.16476947
2031,39.0584697,18.80560208,36.83784638,16.58497876,32.81846004,14.83267482,33.39616918,15.41038396
2032,39.64719621,19.3943286,37.11819377,16.86532616,33.36537195,15.37958674,33.19326289,15.20747768
2033,40.58434105,20.33147343,38.31030956,18.05744195,33.23161499,15.24582978,33.9175458,15.93176058
