Year,mean_585,std_585,mean_370,std_370,mean_245,std_245,mean_126,std_126,TF
2037,26311.2101,10520.14014,24639.87393,9085.80611,22679.03925,10122.71776,23067.21694,8063.87085,NA
2038,26856.34345,10629.20281,25223.26199,9410.84218,23003.91536,10161.40692,23189.90577,7862.93909,NA
2039,27568.18414,10780.89138,25278.00455,9353.08592,23630.42998,9897.79985,22827.90404,7971.08715,NA
2040,27907.94522,11206.61178,25595.2151,9535.86602,23727.10488,9910.83805,22983.59099,7973.37406,NA
2041,28178.55224,11258.07466,25970.51322,9894.18173,23987.07364,10448.98494,23176.49565,7922.22694,NA
2042,28622.89573,11360.77148,26200.53457,9880.83712,24348.3098,10210.28509,23186.27573,8051.31899,NA
2043,29096.1259,11354.0872,26479.70245,9670.75403,24681.08538,10444.53748,23391.04613,7919.76183,NA
2044,29076.02683,11465.71352,26420.65517,9733.48266,24709.01475,10699.28866,23580.67081,8093.98351,NA
2045,29807.5911,11420.67038,26944.16616,9871.76049,24773.24013,10488.95916,23976.1202,8280.18518,NA
2046,29990.60343,11632.72686,27214.57606,9873.26352,25094.42613,10795.33963,24222.81873,8222.40919,NA
2047,30120.50394,11671.35421,27517.20364,9952.66104,25562.74007,10755.13628,24478.60867,8240.293,NA
2048,30704.13304,11726.52963,28118.00162,10384.60949,25786.47017,10764.2243,24459.69106,8306.44534,NA
2049,31167.06552,11712.72898,28417.22936,10135.26173,26068.76698,11083.80949,24500.55503,8167.78531,NA
2050,31283.11586,11705.37723,28983.70754,10394.52337,26236.41054,11263.38749,25106.14623,8460.71391,NA
2051,31198.25397,11696.29643,29631.14663,10385.85012,26422.12822,11246.37727,25255.35495,8686.68599,NA
2052,31737.56712,11635.95817,29222.0699,10711.0347,26956.79131,10983.2918,24948.48184,8360.52601,NA
2053,32303.42908,11668.36722,29731.24915,10863.73153,26961.00712,11439.07523,24688.47988,8262.82123,NA
2054,32480.19984,11791.77925,29985.4833,10914.3724,26899.33066,11083.09393,25094.50558,8297.58243,NA
2055,32742.08587,11490.19001,30851.43498,10844.1815,27290.79746,10956.80373,25751.50521,8552.38368,NA
2056,33146.34499,11532.00359,31076.6205,10922.0621,27174.04553,11155.01979,25756.67541,8414.11535,NA
2057,33378.94222,11514.0275,31174.97051,10985.53851,27395.90041,11251.29025,26019.90084,8284.25186,NA
2058,34378.50627,11464.34044,31726.05283,11154.7863,27869.71769,11527.86288,25460.89388,8458.81115,NA
2059,34595.13638,11768.93793,31938.45064,11351.03473,28204.6471,11272.6537,26004.50455,8621.23848,NA
2060,35122.97187,11697.2412,32051.0947,11608.06668,28576.79592,11266.07652,26146.42809,8539.16191,NA
2061,35100.1973,11473.43072,32454.28956,11732.85552,28759.68143,11514.87142,26110.80198,8431.26646,NA
2062,35828.88004,11331.38675,33025.36164,11440.14449,29017.8401,11663.61037,26482.74667,8514.97286,NA
2063,36086.83516,11303.26411,33257.82152,11394.29808,29529.61306,11577.72039,26717.57512,8606.8172,NA
2064,36480.4925,11399.04901,33017.80994,11662.89982,29592.29115,11809.63076,26518.6066,8676.25525,NA
2065,36638.02217,11245.75704,33530.44093,11685.06288,29755.10534,11531.39393,26755.05197,8739.78024,NA
2066,36904.96819,11105.44859,34318.93113,11309.23451,29888.81264,11651.1455,27195.66898,8705.1786,NA
2067,37544.14086,10952.72965,34567.99918,11320.3983,30241.04615,11436.14951,27058.92615,8748.16196,NA
2068,37510.61886,11122.67401,34713.83743,11321.93058,30918.31306,11144.34384,27091.49914,9021.63117,NA
2069,37958.64048,10801.08769,34893.91054,11347.07704,30727.84547,11405.86428,27137.0794,8968.83521,NA
2070,38396.40296,10692.50867,35406.76031,11241.97119,30226.77486,11611.8865,27415.52285,9109.64859,NA
2071,38644.93106,10564.35975,35707.028,10901.28126,30743.07078,11658.16763,27497.59422,8991.68222,NA
2072,39088.08344,10282.76403,36257.88852,10796.8299,31127.24193,11273.43496,27594.34665,8997.14576,NA
2073,39144.35439,10409.38086,36625.27926,10869.94806,31092.3644,11158.95028,27416.31435,8810.39724,NA
2074,39264.35826,10357.82603,36855.49122,10922.45571,31554.55001,11318.88532,27599.67429,8733.06801,NA
2075,39682.67789,10073.93833,37039.92209,10841.09383,31500.51545,11236.61302,27735.18682,8610.24261,NA
2076,40172.49689,9721.12357,37394.04332,10747.11974,31633.65315,11216.53451,27602.42302,8873.20434,NA
2077,40248.7594,9830.13794,37628.15436,10716.58878,31428.9462,11514.11614,27515.00166,8632.38838,NA
2078,40403.57171,9611.143,37448.47782,10996.49208,31850.43427,11224.79257,27731.15462,8718.87993,NA
2079,40627.09979,9590.35144,38160.98938,10586.86387,31613.16767,11308.32926,28010.15865,8839.27565,NA
2080,41312.29353,9177.42285,38555.1452,10449.18778,31778.01092,11057.28601,28068.1305,8764.7616,2080-2100
2081,41454.70367,9119.93235,38289.17092,10519.93907,32190.42339,10927.5061,27708.32763,8761.6877,2080-2100
2082,41813.31435,8981.95648,38775.93959,10270.09555,32116.37536,11008.86902,28080.23698,8642.53162,2080-2100
2083,42009.04856,8841.52936,39107.54034,10091.16076,32443.00281,11100.04278,27793.38403,8654.6585,2080-2100
