Year,Total_126,STD_126,Total_245,STD_245,Total_585,STD_585,Total_370,STD_370,TF
1952,19.09123626,7.174464803,19.19750962,7.198984804,21.1159086,8.813620037,21.1159086,8.813620037,NA
1953,19.48168671,7.406244481,19.58852288,7.429496698,21.60558697,9.070655593,21.60558697,9.070655593,NA
1954,19.04433932,7.245858122,19.15264988,7.267493067,21.24054157,8.963339548,21.24054157,8.963339548,NA
1955,19.08776837,7.290584838,19.19790779,7.317112384,21.30513842,8.983043841,21.30513842,8.983043841,NA
1956,19.18643497,7.258955024,19.29441335,7.28246946,21.29526631,8.890740509,21.29526631,8.890740509,NA
1957,19.8924247,7.666335008,20.00905508,7.696181338,21.79459674,9.116751485,21.79459674,9.116751485,NA
1958,18.76037373,6.965422561,18.87050378,6.989826841,20.8282931,8.398902958,20.8282931,8.398902958,NA
1959,18.95646352,7.17238861,19.06450633,7.197294074,21.12113086,8.778700631,21.12113086,8.778700631,NA
1960,18.77912095,7.124987212,18.88432873,7.149700882,21.02249601,8.894748568,21.02249601,8.894748568,NA
1961,19.03187371,7.012679287,19.13234048,7.027419194,21.38247734,8.797481249,21.38247734,8.797481249,NA
1962,18.80762959,7.037808015,18.91316514,7.062893875,20.84469548,8.618217516,20.84469548,8.618217516,NA
1963,19.43209417,7.412556183,19.53990906,7.431291243,21.86125876,9.351865798,21.86125876,9.351865798,NA
1964,18.33495491,7.180958302,18.43694692,7.202503803,20.46152679,8.824094243,20.46152679,8.824094243,NA
1965,18.65749371,6.959515632,18.76296584,6.978920255,20.92544391,8.675758015,20.92544391,8.675758015,NA
1966,18.44884256,6.935337172,18.55207257,6.957916275,20.34029586,8.43867321,20.34029586,8.43867321,NA
1967,17.50305384,6.124515865,17.60704925,6.14750458,19.59499324,7.941094342,19.59499324,7.941094342,NA
1968,18.25597114,6.591146202,18.36321278,6.613342509,20.02270569,8.148450062,20.02270569,8.148450062,NA
1969,18.09910536,7.127294872,18.20105625,7.151080947,20.32161827,8.836952734,20.32161827,8.836952734,NA
1970,18.4922009,7.191124557,18.58957982,7.21315744,20.50395928,8.924706287,20.50395928,8.924706287,NA
1971,18.47660406,6.478720982,18.58454472,6.495682751,20.1642601,7.999497247,20.1642601,7.999497247,NA
1972,18.17640077,6.40408416,18.28309641,6.422959478,19.64140806,7.82376644,19.64140806,7.82376644,NA
1973,19.03606012,6.784281087,19.13950834,6.804671429,20.94222771,8.484855403,20.94222771,8.484855403,NA
1974,17.89432215,6.258657607,17.99966555,6.278746466,19.847049,7.830856462,19.847049,7.830856462,NA
1975,18.82493542,6.551696227,18.9318824,6.572848116,20.48258915,7.992442528,20.48258915,7.992442528,NA
1976,18.64065287,6.50068549,18.74470837,6.523461517,20.58082918,8.201455129,20.58082918,8.201455129,NA
1977,19.2089613,6.80748924,19.32015219,6.834667478,21.35275001,8.576777273,21.35275001,8.576777273,NA
1978,19.27772657,6.973441183,19.39206482,7.00075216,21.15296174,8.51023212,21.15296174,8.51023212,NA
1979,19.14386517,7.008125247,19.25580131,7.033911757,20.92111582,8.528304189,20.92111582,8.528304189,NA
1980,19.2451129,7.196009107,19.35882156,7.222635959,21.41726638,8.864481281,21.41726638,8.864481281,NA
1981,18.90609191,7.224467863,19.01649828,7.25235157,20.55201358,8.436789212,20.55201358,8.436789212,NA
1982,19.2071515,6.958916595,19.31562908,6.979677378,20.82957462,8.328169067,20.82957462,8.328169067,NA
1983,19.38458188,6.806349758,19.49694849,6.827491786,20.88637823,8.114123014,20.88637823,8.114123014,NA
1984,19.03942922,6.988239183,19.15301749,7.013864568,20.45659287,8.245757639,20.45659287,8.245757639,NA
1985,20.08621928,7.393814936,20.20307772,7.423499368,21.55792904,8.583749115,21.55792904,8.583749115,NA
1986,19.83868644,7.097190858,19.94724213,7.121752964,21.59139791,8.505963227,21.59139791,8.505963227,NA
1987,19.83514065,6.945621444,19.94893674,6.965709359,21.48351887,8.390311217,21.48351887,8.390311217,NA
1988,19.62676556,7.093213732,19.73033904,7.110033029,21.30929143,8.428469513,21.30929143,8.428469513,NA
1989,20.32205219,7.316077652,20.43428205,7.33972115,21.73861341,8.541381672,21.73861341,8.541381672,NA
1990,19.91502233,6.588041029,20.02513899,6.607157992,21.78087113,8.230208768,21.78087113,8.230208768,1990-2010
1991,19.8684366,6.629127178,19.98285192,6.64797719,21.77949234,8.366591953,21.77949234,8.366591953,1990-2010
1992,19.55536651,7.004912576,19.66059125,7.025999209,21.54624373,8.736736316,21.54624373,8.736736316,1990-2010
1993,20.02364681,7.181275584,20.13657889,7.203797372,21.85055186,8.765835609,21.85055186,8.765835609,1990-2010
1994,20.18346864,7.182560151,20.30062012,7.207388708,21.68288762,8.506223827,21.68288762,8.506223827,1990-2010
1995,19.54708405,6.489359101,19.66209255,6.515241241,21.4910812,8.271461939,21.4910812,8.271461939,1990-2010
1996,20.91275703,7.175926223,21.03084886,7.206568602,23.05297075,8.977304887,23.05297075,8.977304887,1990-2010
1997,21.36035585,7.034972492,21.48095179,7.058873153,23.16211988,8.789355308,23.16211988,8.789355308,1990-2010
1998,21.39868513,7.256910361,21.52107915,7.284744567,23.33617765,9.039488118,23.33617765,9.039488118,1990-2010
1999,22.03354537,7.953477222,22.15850366,7.987959945,23.49761483,9.514658867,23.49761483,9.514658867,1990-2010
2000,22.30670632,8.000283543,22.43493992,8.030344546,23.99530013,9.592210576,23.99530013,9.592210576,1990-2010
2001,22.43564091,8.200750999,22.56142928,8.234991851,24.48879745,10.01588776,24.48879745,10.01588776,1990-2010
2002,22.65336124,7.785745821,22.77633725,7.812375267,24.90124104,9.864510969,24.90124104,9.864510969,1990-2010
2003,22.12400731,7.706573031,22.244858,7.734231613,24.63055983,9.938592157,24.63055983,9.938592157,1990-2010
2004,22.90637888,7.979496726,23.03150632,8.009208343,25.70232264,10.27059676,25.70232264,10.27059676,1990-2010
2005,23.43370498,7.943428582,23.56526493,7.977434763,25.93741136,10.09610264,25.93741136,10.09610264,1990-2010
2006,23.82007256,8.465097483,23.943792,8.491938313,26.86682984,10.80707762,26.86682984,10.80707762,1990-2010
2007,24.29128811,9.089605048,24.41723967,9.119087324,27.47095415,11.4966705,27.47095415,11.4966705,1990-2010
2008,24.69573177,8.852899644,24.8307981,8.884961621,27.93773757,11.3601698,27.93773757,11.3601698,1990-2010
2009,24.92449438,9.03913188,25.05961765,9.073487064,28.24370817,11.63211761,28.24370817,11.63211761,1990-2010
2010,24.781218,8.591547263,24.91249838,8.625707367,28.2211558,11.23647915,28.2211558,11.23647915,1990-2010
2011,25.13181895,8.999805323,25.26130546,9.026230432,28.39105014,11.56319176,28.39105014,11.56319176,NA
2012,25.38346504,9.367714561,25.51569231,9.401736581,28.5636827,11.98332577,28.5636827,11.98332577,NA
2013,24.96234892,8.936068349,25.09666999,8.955110853,28.42336919,11.57990844,28.42336919,11.57990844,NA
2014,26.48023735,9.685783241,26.61751022,9.712929448,30.07752983,12.29589937,30.07752983,12.29589937,NA
2015,27.00275894,9.581047247,28.19751678,10.44302485,29.83834593,11.95078772,28.91655006,11.68079166,NA
2016,26.66888372,9.523124899,28.01295319,10.44856558,30.41164852,12.41390141,28.49548071,11.82058861,NA
2017,27.55034118,10.07149854,27.49544773,9.957739006,30.89208301,12.93157245,29.78803089,11.93559649,NA
2018,27.93496091,10.27770011,27.79818612,10.3859354,30.40597001,12.66169567,30.18153299,11.97846814,NA
2019,28.51266693,10.05884783,28.78608968,10.09742738,31.81786414,12.99449198,30.41455953,12.42247161,NA
2020,29.1150999,10.19389088,29.73722318,10.53310699,32.73780015,13.00531782,31.57844954,12.67706279,NA
2021,29.29544506,10.31725863,29.08454659,10.65726238,33.09867388,13.42902478,31.66235418,12.68645465,NA
2022,29.58660602,10.5472679,30.40477803,11.11336018,33.69688102,13.85919455,31.66619091,12.06986125,NA
2023,30.61295586,10.75013893,30.95858554,11.0494303,33.8515714,13.8626172,31.99947666,12.65476456,NA
2024,30.91546189,10.83266928,30.53741196,10.88301583,34.84683551,13.71948083,33.37988881,12.75411405,NA
2025,31.69613497,10.9560215,31.39526811,10.64216776,35.26444818,14.17873388,33.3865887,13.29126403,NA
2026,31.69814105,11.17075686,30.4604145,10.76528111,35.85453755,14.47036955,33.45721663,13.0117583,NA
2027,32.17266956,11.29733174,31.35878608,10.89360664,36.3022553,14.55636922,33.92548815,13.08209767,NA
2028,32.15114667,11.47396901,32.03695718,11.43484344,37.38186216,14.88136799,35.16162351,13.27298211,NA
2029,31.99260281,11.23383984,32.73931194,11.44861253,37.6941954,15.18662678,35.9699452,13.52387912,NA
2030,32.95657131,11.31219667,33.01969102,11.3976478,37.73981271,15.42256628,36.29985542,13.68247858,NA
2031,33.2000464,11.66570534,32.80150218,11.4375056,38.82857699,15.58677444,36.62313932,13.85706934,NA
2032,32.99886157,11.58143822,33.34169054,11.52098743,39.41377025,15.42637881,36.90147605,14.07651256,NA
2033,33.71825303,12.04140916,33.21280965,11.6260036,40.34508077,15.91643128,38.08595234,14.31240918,NA
2034,34.33091678,12.12069171,34.96653036,11.7716484,40.19786781,15.99019778,37.64591574,14.4887797,NA
2035,34.23738627,12.20959832,35.5652236,11.80824441,41.49640111,16.23757068,38.8554343,14.47854934,NA
2036,35.43522064,12.29714116,35.89277031,11.95684042,42.2105351,16.6576634,38.89768645,14.32250936,NA
2037,36.19674502,12.69129151,35.77399297,12.51631323,42.18083595,16.52922904,39.50188296,14.27044319,NA
2038,36.38851723,12.37126986,36.28645364,12.56415075,43.05134306,16.70207008,40.4352805,14.77913427,NA
2039,35.81802169,12.55110356,37.27471992,12.23821173,44.19524484,16.93181127,40.52432612,14.69580667,NA
2040,36.05859778,12.53746302,37.42721523,12.25433292,44.74190197,17.61074345,41.04127523,14.99281624,NA
2041,36.36314744,12.46423297,37.83729084,12.91972884,45.17235202,17.68627623,41.63883018,15.54866188,NA
2042,36.39663567,12.68440034,38.40710597,12.62458654,45.88777386,17.84421559,42.00751562,15.53011696,NA
2043,36.70324002,12.45251935,38.9320273,12.91422973,46.64304459,17.83552996,42.453191,15.20340167,NA
2044,37.00455332,12.73855172,38.97608317,13.22921882,46.61511863,18.01086289,42.35810758,15.29908409,NA
2045,37.62719206,13.04539716,39.07739251,12.96915527,47.78545237,17.94602291,43.19134873,15.51947136,NA
2046,38.01963007,12.94895302,39.58403238,13.34798178,48.07754295,18.27509854,43.62924634,15.52423819,NA
2047,38.40521738,12.95449282,40.32275237,13.29827204,48.28820183,18.34489551,44.11201708,15.64204506,NA
2048,38.39388653,13.07924322,40.67566499,13.30950899,49.22117503,18.41918988,45.07296514,16.31879404,NA
2049,38.44456576,12.84672398,41.12096092,13.70466259,49.96420014,18.4126968,45.55612799,15.92542397,NA
2050,39.39515413,13.30451965,41.38540244,13.9267032,50.14911607,18.40285774,46.4608187,16.33188983,NA
