,mean_585,mean_370,mean_245,mean_126,std_585,std_370,std_245,std_126,Year,,,,,,,,,,,,,,,,
thaw_depth_133,1.123336642,1.123336642,1.046307144,1.046307144,0.465987153,0.465987153,0.451215141,0.451215141,1982,,,,,,,,,,,,,,,,
thaw_depth_134,1.126807438,1.126807438,1.061620331,1.061620331,0.448284481,0.448284481,0.426547946,0.426547946,1983,,,,,,,,,,,,,,,,
thaw_depth_135,1.105119047,1.105119047,1.044809477,1.044809477,0.457076885,0.457076885,0.439933933,0.439933933,1984,,,,,,,,,,,,,,,,
thaw_depth_136,1.164020393,1.164020393,1.085226353,1.085226353,0.460702038,0.460702038,0.454649451,0.454649451,1985,,,,,,,,,,,,,,,,
thaw_depth_137,1.156233475,1.156233475,1.07213707,1.07213707,0.460143102,0.460143102,0.438931187,0.438931187,1986,,,,,,,,,,,,,,,,
thaw_depth_138,1.172228456,1.172228456,1.089657861,1.089657861,0.454489711,0.454489711,0.435415791,0.435415791,1987,,,,,,,,,,,,,,,,
thaw_depth_139,1.15595157,1.15595157,1.066840894,1.066840894,0.453429745,0.453429745,0.437253369,0.437253369,1988,,,,,,,,,,,,,,,,
thaw_depth_140,1.170401602,1.170401602,1.106903617,1.106903617,0.460591925,0.460591925,0.449699356,0.449699356,1989,,,,,,,,,,,,,,,,
thaw_depth_141,1.190187316,1.190187316,1.101603241,1.101603241,0.454517031,0.454517031,0.414864102,0.414864102,1990,,,,,,,,,,,,,,,,
thaw_depth_142,1.193136726,1.193136726,1.111099538,1.111099538,0.45848178,0.45848178,0.423914493,0.423914493,1991,,,,,,,,,,,,,,,,
thaw_depth_143,1.172528644,1.172528644,1.07909913,1.07909913,0.472922,0.472922,0.451282699,0.451282699,1992,,,,,,,,,,,,,,,,
thaw_depth_144,1.199317536,1.199317536,1.101785764,1.101785764,0.479722299,0.479722299,0.455631667,0.455631667,1993,,,,,,,,,,,,,,,,
thaw_depth_145,1.181793657,1.181793657,1.114743751,1.114743751,0.45940673,0.45940673,0.437528241,0.437528241,1994,,,,,,,,,,,,,,,,
thaw_depth_146,1.168326824,1.168326824,1.081889479,1.081889479,0.460609795,0.460609795,0.424502312,0.424502312,1995,,,,,,,,,,,,,,,,
thaw_depth_147,1.229125958,1.229125958,1.137403494,1.137403494,0.493566332,0.493566332,0.467095658,0.467095658,1996,,,,,,,,,,,,,,,,
thaw_depth_148,1.245012378,1.245012378,1.159756071,1.159756071,0.477662775,0.477662775,0.457928445,0.457928445,1997,,,,,,,,,,,,,,,,
thaw_depth_149,1.249326938,1.249326938,1.167487038,1.167487038,0.493765438,0.493765438,0.465389099,0.465389099,1998,,,,,,,,,,,,,,,,
thaw_depth_150,1.259257682,1.259257682,1.201343987,1.201343987,0.508123384,0.508123384,0.500845931,0.500845931,1999,,129.6959444,129.6959444,121.5582147,121.5582147,,,,,,,,,,,
thaw_depth_151,1.296959444,1.296959444,1.215582147,1.215582147,0.520514327,0.520514327,0.508168559,0.508168559,2000,,30.05661471,26.43334058,29.28055334,28.07406845,,,,,,,,,,,
thaw_depth_152,1.316168661,1.316168661,1.21207374,1.21207374,0.526561985,0.526561985,0.510289562,0.510289562,2001,,0.389822103,0.342829707,0.355929179,0.341263364,,,,,,,,,,,
thaw_depth_153,1.335593958,1.335593958,1.229964362,1.229964362,0.520895117,0.520895117,0.491047523,0.491047523,2002,,,,,,,,,,,,,,,,
thaw_depth_154,1.343752884,1.343752884,1.211124939,1.211124939,0.523916602,0.523916602,0.491878465,0.491878465,2003,,0.03898221,,,,,,,,,,,,,,
thaw_depth_155,1.373696336,1.373696336,1.242540932,1.242540932,0.532189897,0.532189897,0.493685027,0.493685027,2004,,3.89822103,,,,,,,,,,,,,,
thaw_depth_156,1.40461919,1.40461919,1.270968647,1.270968647,0.528196417,0.528196417,0.491860104,0.491860104,2005,,,,,,,,,,,,,,,,
thaw_depth_157,1.427551768,1.427551768,1.284022765,1.284022765,0.559561319,0.559561319,0.524261489,0.524261489,2006,,,,,,,,,,,,,,,,
thaw_depth_158,1.453832057,1.453832057,1.30142816,1.30142816,0.580126942,0.580126942,0.545713361,0.545713361,2007,,,,,,,,,,,,,,,,
thaw_depth_159,1.475282217,1.475282217,1.331150489,1.331150489,0.574556262,0.574556262,0.540402544,0.540402544,2008,,,,,,,,increase 2000 - 2100: ,,,,,,,,
