Year,mean_126,std_126,mean_245,std_245,mean_370,std_370,mean_585,std_585,TF
2037,1.636701406,0.957656908,1.575481524,0.94010121,1.670646912,1.015849755,1.798102374,1.255842488,NA
2038,1.585730905,0.925922685,1.57942385,0.938535964,1.710036898,1.067306532,1.815198814,1.29735661,NA
2039,1.58919266,0.94363633,1.625332813,0.935626165,1.693563894,1.086996488,1.838958849,1.332724063,NA
2040,1.592738413,0.958221615,1.617664735,0.945952869,1.71804513,1.078935372,1.868003981,1.383495946,NA
2041,1.57831508,0.950426012,1.649282965,1.002738098,1.742654361,1.137820401,1.884658261,1.415721148,NA
2042,1.588274707,0.968576896,1.639591803,0.979379848,1.744873072,1.143790225,1.913224013,1.439559172,NA
2043,1.594698665,0.951616258,1.629933777,1.004781585,1.757824917,1.117171926,1.918157295,1.446884634,NA
2044,1.620712642,0.979823186,1.663025846,1.047954235,1.729110816,1.106654169,1.914981097,1.45916626,NA
2045,1.632577866,1.002658093,1.66537405,1.016020025,1.757885716,1.146281691,1.951474761,1.479546549,NA
2046,1.622172584,1.014341614,1.664227592,1.070049124,1.778834888,1.141479501,1.954172416,1.500268221,NA
2047,1.637470677,1.027413938,1.695342971,1.071910785,1.800657718,1.176354904,1.950838898,1.520073209,NA
2048,1.627624465,1.00279475,1.706220423,1.074434593,1.825630795,1.23503024,1.983488954,1.534295073,NA
2049,1.611654599,0.992759522,1.711756136,1.095704167,1.837884862,1.240311695,1.991561766,1.551095249,NA
2050,1.660950076,1.033891235,1.716875826,1.113553603,1.873596889,1.291986524,1.991651008,1.559246236,NA
2051,1.67408356,1.067142221,1.720598088,1.135738355,1.903026476,1.330953482,1.986833801,1.56760859,NA
2052,1.630897956,1.032112576,1.74293494,1.106794399,1.866302266,1.331677542,2.000328543,1.563290412,NA
2053,1.630312454,1.023603487,1.738754294,1.152193761,1.906544628,1.359872794,2.026758965,1.604319764,NA
2054,1.646665572,1.040458481,1.717205685,1.133640684,1.937430954,1.390294393,2.028054535,1.60004298,NA
2055,1.695323653,1.080987538,1.755473419,1.120834246,1.965791293,1.426007781,2.01810119,1.593051202,NA
2056,1.689169555,1.05307191,1.74195374,1.147649948,1.964570164,1.453494542,2.02284969,1.592060897,NA
2057,1.703374896,1.057137168,1.756027062,1.150780399,1.975623337,1.429794038,2.036570118,1.613725033,NA
2058,1.655492003,1.057460082,1.788118019,1.190234404,1.99956993,1.464200428,2.08598198,1.631295671,NA
2059,1.694349643,1.088667413,1.785832737,1.181825683,2.011735665,1.508074188,2.093985222,1.704342056,NA
2060,1.70030239,1.087133951,1.79864188,1.191669814,2.00964279,1.546803637,2.108220002,1.701728874,NA
2061,1.692954632,1.079267696,1.816369084,1.197296838,2.036645795,1.61436018,2.101492996,1.70595602,NA
2062,1.717559363,1.096581754,1.82074875,1.238180979,2.053271901,1.597491363,2.117248776,1.702380261,NA
2063,1.736923233,1.097012711,1.840979834,1.233355162,2.056706415,1.604689362,2.121206341,1.725316845,NA
2064,1.717708595,1.121562604,1.84285711,1.265916963,2.052252693,1.603956654,2.133188778,1.738305439,NA
2065,1.735525028,1.147067185,1.839220582,1.242432899,2.067650793,1.612204478,2.137741335,1.72969496,NA
2066,1.767190508,1.136702594,1.832795548,1.229956273,2.086298665,1.582836538,2.143971243,1.71533703,NA
2067,1.749012258,1.135514423,1.843906902,1.222274752,2.092878467,1.606873008,2.159786582,1.695767715,NA
2068,1.76060661,1.161197693,1.872173971,1.207284038,2.087004336,1.608476596,2.161843771,1.733691922,NA
2069,1.754308435,1.159740719,1.851590516,1.2413681,2.084679201,1.639465778,2.170563135,1.704018804,NA
2070,1.764267141,1.185138624,1.829188862,1.254821118,2.102724741,1.628282474,2.170552459,1.697468565,NA
2071,1.762532418,1.174335849,1.848583307,1.258612886,2.098002054,1.592967026,2.174166386,1.682649581,NA
2072,1.761176825,1.174450957,1.871444608,1.237469624,2.114261478,1.557959602,2.177402509,1.653005988,NA
2073,1.724266771,1.143372386,1.846937058,1.228731433,2.127877227,1.614696489,2.175717788,1.676321514,NA
2074,1.727697389,1.149819112,1.88048689,1.266023193,2.133715652,1.636563834,2.178006365,1.682185872,NA
2075,1.725033982,1.13594555,1.870593076,1.251969888,2.133568894,1.629613619,2.180871119,1.645500317,NA
2076,1.737297877,1.168437796,1.866409348,1.266613058,2.147969043,1.625161256,2.185973442,1.600480594,NA
2077,1.728117231,1.12342224,1.866318304,1.283621713,2.150228322,1.665368911,2.184261839,1.627366972,NA
2078,1.747777593,1.145999399,1.883920519,1.262138771,2.14586821,1.68780768,2.18696165,1.603135909,NA
2079,1.755948649,1.169853697,1.859134765,1.268016993,2.161768829,1.656841071,2.189404669,1.59915586,NA
2080,1.753878154,1.148111327,1.8550873,1.245124907,2.161671849,1.639782137,2.196686696,1.539764073,2080-2100
2081,1.72245016,1.153136448,1.876284109,1.234464638,2.147871225,1.652084709,2.198867214,1.537296188,2080-2100
2082,1.751060249,1.134160944,1.870371251,1.258850578,2.158748452,1.642608675,2.196869329,1.505224566,2080-2100
2083,1.741380503,1.135761842,1.898024604,1.270027787,2.160190523,1.633112497,2.196549882,1.502756884,2080-2100
2084,1.737534506,1.133192289,1.90305328,1.248637063,2.169749255,1.643541992,2.199940945,1.491630169,2080-2100
2085,1.743448786,1.165276587,1.933760734,1.273149255,2.176968037,1.619416047,2.199874511,1.513169445,2080-2100
2086,1.753124205,1.155877584,1.90641594,1.252106173,2.180107003,1.595604357,2.200811291,1.477540117,2080-2100
2087,1.753924447,1.158790631,1.893215745,1.28648455,2.174030808,1.593680692,2.201542266,1.48674908,2080-2100
2088,1.739191409,1.163622019,1.90815104,1.301872497,2.183866463,1.586460242,2.201635074,1.472288886,2080-2100
2089,1.751957389,1.168640893,1.901737879,1.282089575,2.188320035,1.581951018,2.201927255,1.479789809,2080-2100
2090,1.739921613,1.126934829,1.883169297,1.286208524,2.190820741,1.587065209,2.202567475,1.443264268,2080-2100
2091,1.721967799,1.143167817,1.90940119,1.280373891,2.192326653,1.574188231,2.202883213,1.438927852,2080-2100
2092,1.771036769,1.164471107,1.913314367,1.264805846,2.19201015,1.578999376,2.203221254,1.429384653,2080-2100
2093,1.733962559,1.14807354,1.916574175,1.280040706,2.192304034,1.613384953,2.203103344,1.417668447,2080-2100
2094,1.716123347,1.170614781,1.917363341,1.287867898,2.190243151,1.610731744,2.202551269,1.403467665,2080-2100
2095,1.747747388,1.156706295,1.924849393,1.288317629,2.196426154,1.602016402,2.203879787,1.374675498,2080-2100
2096,1.744274775,1.174429361,1.931201374,1.288663354,2.197735026,1.588921906,2.204043995,1.388203241,2080-2100
2097,1.73063898,1.168833018,1.927295945,1.290624637,2.199116862,1.56871566,2.203110245,1.390302372,2080-2100
2098,1.74503582,1.16009134,1.915789601,1.313129822,2.197412358,1.58445625,2.203819309,1.355520343,2080-2100
2099,1.737937942,1.176973595,1.896824205,1.291335431,2.196650334,1.58072238,2.202952202,1.381960722,2080-2100
2100,1.711956054,1.147679463,1.923555962,1.266612088,2.194346648,1.582488806,2.202952202,1.381960722,2080-2100
