,126_1,126_10,245_1,245_10,370_1,370_10,585_1,585_10
1944,-0.023881295,-0.238812955,-0.023881295,-0.238812955,0.002873459,0.028734587,0.002873459,0.028734587
1945,0.177726769,1.777267686,0.177726769,1.777267686,0.124967093,1.249670941,0.124967093,1.249670941
1946,0.160739186,1.607391853,0.160739186,1.607391853,0.155801176,1.558011769,0.155801176,1.558011769
1947,0.08454973,0.845497311,0.08454973,0.845497311,0.12668602,1.26686021,0.12668602,1.26686021
1948,0.130942912,1.309429147,0.130942912,1.309429147,0.055959699,0.559596998,0.055959699,0.559596998
1949,0.163545944,1.635459386,0.163545944,1.635459386,0.11458355,1.145835487,0.11458355,1.145835487
1950,0.095598802,0.955988015,0.095598802,0.955988015,0.08257463,0.825746305,0.08257463,0.825746305
1951,0.078154653,0.781546535,0.078154653,0.781546535,0.13110468,1.311046798,0.13110468,1.311046798
1952,0.13941637,1.394163683,0.13941637,1.394163683,0.119751412,1.19751412,0.119751412,1.19751412
1953,0.219925615,2.199256149,0.219925615,2.199256149,0.226867489,2.26867489,0.226867489,2.26867489
1954,0.066168261,0.661682607,0.066168261,0.661682607,0.073890715,0.738907153,0.073890715,0.738907153
1955,0.137584291,1.375842909,0.137584291,1.375842909,0.170732061,1.707320618,0.170732061,1.707320618
1956,0.109009581,1.090095813,0.109009581,1.090095813,0.078383283,0.783832833,0.078383283,0.783832833
1957,0.181855709,1.818557095,0.181855709,1.818557095,0.171848389,1.71848389,0.171848389,1.71848389
1958,0.122886118,1.228861179,0.122886118,1.228861179,0.097435598,0.974355979,0.097435598,0.974355979
1959,0.132536569,1.325365696,0.132536569,1.325365696,0.142101292,1.421012923,0.142101292,1.421012923
1960,0.034001674,0.340016737,0.034001674,0.340016737,0.079752575,0.797525745,0.079752575,0.797525745
1961,0.069815311,0.698153097,0.069815311,0.698153097,0.103105254,1.03105254,0.103105254,1.03105254
1962,0.13918202,1.391820189,0.13918202,1.391820189,0.041018097,0.410180972,0.041018097,0.410180972
1963,0.241759716,2.417597159,0.241759716,2.417597159,0.224175579,2.241755785,0.224175579,2.241755785
1964,0.068216735,0.682167369,0.068216735,0.682167369,0.081975931,0.819759312,0.081975931,0.819759312
1965,0.047265333,0.472653329,0.047265333,0.472653329,0.095566754,0.955667545,0.095566754,0.955667545
1966,0.022254732,0.222547313,0.022254732,0.222547313,0.036146443,0.361464437,0.036146443,0.361464437
1967,-0.073541175,-0.735411762,-0.073541175,-0.735411762,-0.058367449,-0.583674484,-0.058367449,-0.583674484
1968,0.084584582,0.845845816,0.084584582,0.845845816,-0.030382403,-0.30382404,-0.030382403,-0.30382404
1969,-0.012292921,-0.12292923,-0.012292921,-0.12292923,-0.042738016,-0.42738017,-0.042738016,-0.42738017
1970,0.038119669,0.381196679,0.038119669,0.381196679,0.029176102,0.291761028,0.029176102,0.291761028
1971,0.118579005,1.18579006,0.118579005,1.18579006,0.044544463,0.445444623,0.044544463,0.445444623
1972,-0.025841613,-0.258416128,-0.025841613,-0.258416128,-0.132987131,-1.32987131,-0.132987131,-1.32987131
1973,0.077664058,0.776640588,0.077664058,0.776640588,0.029825514,0.298255151,0.029825514,0.298255151
1974,-0.038523858,-0.385238576,-0.038523858,-0.385238576,-0.067477609,-0.674776088,-0.067477609,-0.674776088
1975,0.21544582,2.154458222,0.21544582,2.154458222,0.085219109,0.852191087,0.085219109,0.852191087
1976,0.160026654,1.600266537,0.160026654,1.600266537,0.115252039,1.152520401,0.115252039,1.152520401
1977,0.113869917,1.13869917,0.113869917,1.13869917,0.075014332,0.750143328,0.075014332,0.750143328
1978,0.165653338,1.656533386,0.165653338,1.656533386,0.122783669,1.227836691,0.122783669,1.227836691
