Year,SSP126,SSP245,SSP370,SSP585
2056,25.94939401,28.40707788,35.53543235,40.26480039
2057,26.95730139,29.06196622,36.35716857,41.72031516
2058,25.17504718,29.85194438,37.24169811,44.18514504
2059,25.89249598,30.20461163,38.6318154,44.29732828
2060,26.47253955,30.45022359,38.5312721,46.22746225
2061,26.25507468,30.99627622,40.27476336,46.15492752
2062,27.33995011,30.94840137,41.21475374,48.36024726
2063,26.93890317,32.5275756,41.95066425,49.13813248
2064,25.8624581,32.35532529,41.68931634,50.46540859
2065,26.9108374,33.0836871,42.75899149,51.02776498
2066,29.26369016,32.61791744,44.20273809,51.50679402
2067,28.13507046,33.08967413,44.51987604,52.42086162
2068,28.97439384,35.19524088,44.94497265,52.78831687
2069,27.40758701,34.33132502,45.02548077,54.57610436
2070,28.74772484,33.53802107,46.42345128,55.32360932
2071,28.67280729,34.43468965,46.81221159,55.88963808
2072,29.06701208,35.56381984,49.14533487,56.95167838
2073,28.2458221,34.86983438,49.42786221,56.83866663
2074,28.44488085,36.06566604,50.1644551,57.02964176
2075,28.92517371,35.84780765,50.22040453,57.54841203
2076,28.65996286,35.97618836,50.99040246,59.13623721
2077,28.99874326,35.81296617,52.52704108,59.20018708
2078,28.96930013,36.05813989,52.64809899,59.47647809
2079,29.40815247,35.66961926,53.99514462,60.02926327
2080,28.89658962,36.08470662,54.89118162,62.20357579
2081,28.40030805,36.9574236,54.57020378,62.61796984
2082,29.87589549,36.83659844,55.06171529,63.55448762
2083,28.7920981,36.89561462,56.02153526,63.71508501
2084,28.65240209,38.02155448,56.58969342,64.66165247
2085,29.24898219,39.3167948,57.55555486,64.4841458
2086,29.70667888,38.65882637,58.29189455,65.91711768
2087,29.54825242,38.53295182,57.7651293,65.95829236
2088,28.90822166,38.62920437,58.54152669,66.68027029
2089,28.44515242,37.83076944,59.15165465,66.3829721
2090,28.74348834,37.99129152,59.59441295,67.0855231
2091,28.48008837,38.52334348,60.72431908,68.09230569
2092,30.67545355,39.17990591,60.9228406,68.49143528
2093,28.8662254,40.19714764,60.80425824,68.81129782
2094,28.36536086,39.67382821,60.2860452,69.35408313
2095,29.3715339,40.14204351,62.01057807,70.59827805
2096,28.82778817,40.29677041,62.18687914,70.50889683
2097,28.79161363,40.762942,63.58467756,70.38857804
2098,29.80516759,40.32061498,63.81062741,71.63889348
2099,29.85876152,40.0305192,64.37725581,70.9657311
2100,29.21540802,40.61911411,63.98886187,
